city	state	zip	tenant_name
Houston	TX	77082	HJ Smoothies & Creamery
Bethesda	MD	20817	Under Armour
Maryville	TN	37801	Workout Anytime
Morristown	TN	37813	Red's Vinyl Graphics
Norridge	IL	60706	Opinions LTD
Bellevue	WA	98004	"Bellevue Square Managers, Inc."
Tempe	AZ	85282	Acceptance
Moorestown	NJ	8057	Never Too Spoiled
Laguna Hills	CA	92653	Paul's Products
Saint Peters	MO	63376	First Class
Jackson	MI	49202	Furnish IT
Las Vegas	NV	89109	"Choo, Jimmy"
Horseheads	NY	14845	Community Job Center
Louisville	KY	40207	Smoothies For You
Dayton	OH	45459	Shï
Lexington	KY	40503	Greek Gyros Inc
Henderson	NV	89014	"Jenny H. Kim, O.D., Llc"
Saint Charles	IL	60174	Coopers Hawk
Fayetteville	AR	72703	Air National Guard
Cape Girardeau	MO	63703	R00
Horseheads	NY	14845	Glamour & Glow
Charleston	SC	29407	Airbrush Art
Annapolis	MD	21401	Troll Beads
Bethesda	MD	20817	Lobster ME
Asheville	NC	28805	Earth Bound Trading
Sacramento	CA	95825	Bath Fitters
Madison	WI	53704	Best Com
Columbia	SC	29210	C T C Fiesta Balloons
Lone Tree	CO	80124	American Girl Inc
National City	CA	91950	Sun Diego
Cambridge	MA	2141	Rosetta Stone
Las Vegas	NV	89109	Planet Hollywood Towers By Westgate Co…
Chesterfield	MO	63017	BAM!
Wellington	FL	33414	Perfect Oil
Newport	KY	41071	Comstock Valuation Advisors Inc
Aurora	CO	80012	Rosenthal Henry
Troy	MI	48083	Bedazzled
Fort Lauderdale	FL	33304	Capri Resort Llc
Yuma	AZ	85364	Dennesio's Pizzeria Llc
Waterbury	CT	6706	Men's Mart
Rogers	AR	72758	Mark Anthony Group
Houma	LA	70364	Babbage's Etc.
Irvine	CA	92618	Lorna Jane
Amarillo	TX	79121	Campus Collection
Henderson	NV	89014	EVER
Hoover	AL	35244	Minute Men
College Station	TX	77840	The Pink Zebra Llc
Burnsville	MN	55306	Push Pedal Pull
Richmond	VA	23230	Nextel
Saint Cloud	MN	56301	Bristow's
Waco	TX	76710	Modern Man
Austin	TX	78738	Milk & Honey Day
Raleigh	NC	27616	Celik Sunglasses
Buffalo	NY	14219	I-Fix
Riverside	CA	92503	The Tech Center Llc
Dewitt	NY	13214	Syracuse Martial Arts Academy
Charlotte	NC	28211	Arthur's Inc
Butler	PA	16001	Truly Yours Inc
Myrtle Beach	SC	29577	Chef Smitty's
Spartanburg	SC	29301	Relaxation Station
Alameda	CA	94501	Chamber of Commerce
Wichita	KS	67209	Superstars
Flagstaff	AZ	86004	Easy Relax
Frackville	PA	17931	This 'n That
Lakewood	CA	90712	Ice Island
Bridgewater	NJ	8807	My Expert PC
Phoenix	AZ	85016	Pork On A Fork
Hagerstown	MD	21740	Primanti Bros
Murray	UT	84107	Fragranza
Kingsport	TN	37664	"Nutty Java, The"
Phoenix	AZ	85033	La Perrona
Louisville	KY	40207	Bread Way Company
Roseville	CA	95678	BOSS Store
Las Vegas	NV	89109	"Jacobs, Marc"
Vancouver	WA	98662	Hawaiian Vapor
Gainesville	GA	30501	Nunuie Enterprise Llc
Davenport	FL	33837	Modern Day Tiffany
Laredo	TX	78041	Hq Entertainment
Wichita Falls	TX	76308	Anita Le Od
Santa Clara	CA	95050	De Masqe
